Depth_cm,Age_BP_Sh13,Age_BP_Sh20_min,Age_BP_Sh20_max,Age_BP_Sh20_median,Age_BP_Sh20_mean,RABD620,R850_R900,LOESS_100_age,LOESS_100_R850_R900,Predicted,Residuals,age_plot,R850_R900_mean,R850_R900_sd,Depth_0.1cm,Age_BP_Sh20_min_0.1cm,Age_BP_Sh20_max_0.1cm,Age_BP_Sh20_median_0.1cm,Age_BP_Sh20_mean_0.1cm,R850_R900_0.1cm,Depth_0.1cm,Age_BP_Sh20_min_0.5cm,Age_BP_Sh20_max_0.5cm,Age_BP_Sh20_median_0.5cm,Age_BP_Sh20_mean_0.5cm,R850_R900_0.5cm,,depth,min,max,median,mean
0.3773,-58.4,-65.05,-56.54,-61.29,-61.05,1.023043509,0.984740882,5400,0.981466694,0.992313521,-0.007572639,,,,5.5,-51.63,-18.22,-34.44,-34.63,0.992024833,27.5,6366.21,6772.18,6611.31,6601.35,0.98743873,,0.3773,-65.05,-56.54,-61.29,-61.05
0.38416,-58.4,-65.04,-56.45,-61.25,-61.01,1.021051399,0.997236196,5500,0.981041636,0.992313521,0.004922675,,,,5.6,-51.46,-17.37,-33.96,-34.07,0.984917668,28,6501.44,6846.73,6708.34,6702.24,0.988886095,,0.38416,-65.04,-56.45,-61.25,-61.01
0.39102,-58.3,-65.03,-56.36,-61.22,-60.97,1.022878104,1.001704043,5600,0.982463018,0.99232759,0.009376453,,,,5.7,-51.28,-16.36,-33.52,-33.51,0.967958262,28.5,6564.82,6881.23,6758.38,6748.02,0.974720835,,0.39102,-65.03,-56.36,-61.22,-60.97
0.39788,-58.2,-65.01,-56.26,-61.19,-60.94,1.019526216,1.002293482,5700,0.986749206,0.99234136,0.009952122,,,,5.8,-51.02,-15.13,-33.07,-32.95,0.956154717,29,6621.56,6941.26,6791.2,6793.8,0.980208768,,0.39788,-65.01,-56.26,-61.19,-60.94
0.40474,-58.1,-65,-56.16,-61.17,-60.9,1.019523892,1.001003744,5800,0.999200742,0.992355202,0.008648542,,,,5.9,-50.77,-14.29,-32.59,-32.39,0.943049893,29.5,6669.25,7034.58,6827.97,6839.58,0.953976354,,0.40474,-65,-56.16,-61.17,-60.9
0.4116,-58,-64.98,-56.05,-61.14,-60.86,1.016657794,0.990410737,5900,1.010402695,0.992368793,-0.001958056,,,,6,-50.53,-13.12,-31.89,-31.82,0.942902139,30,6700.55,7140.27,6867.53,6885.36,0.956363121,,0.4116,-64.98,-56.05,-61.14,-60.86
0.41846,-57.9,-64.96,-55.94,-61.12,-60.82,1.015724149,0.988117473,6000,1.018096721,0.992382404,-0.004264931,,,,6.1,-49.81,-12.89,-31.28,-31.24,0.943329888,30.5,6753.55,7155.21,6900.04,6918.36,1.001264629,,0.41846,-64.96,-55.94,-61.12,-60.82
0.42532,-57.8,-64.95,-55.85,-61.09,-60.78,1.014194371,0.978039059,6100,1.020268633,0.992395865,-0.014356806,,,,6.2,-49.04,-12.65,-30.54,-30.66,0.96369857,31,6790.75,7170.23,6934.89,6951.37,0.985670187,,0.42532,-64.95,-55.85,-61.09,-60.78
0.43218,-57.7,-64.93,-55.76,-61.05,-60.74,1.019598135,0.979697119,6200,1.018128966,0.99240925,-0.012712131,,,,6.3,-48.38,-12.34,-29.82,-30.07,0.978808867,31.5,6809.59,7186.95,6975.39,6984.38,0.961071273,,0.43218,-64.93,-55.76,-61.05,-60.74
0.43904,-57.6,-64.92,-55.66,-61.02,-60.7,1.020689672,0.982532179,6300,1.013254155,0.99242251,-0.009890331,,,,6.4,-47.79,-12.18,-29.09,-29.49,0.977054052,32,6822.46,7204.38,7013.37,7017.38,0.92733749,,0.43904,-64.92,-55.66,-61.02,-60.7
